Seq,COPx,COPy
0,-2.229988,0.69178
1,-2.221034,0.688258
2,-2.207165,0.682879
3,-2.197939,0.678514
4,-2.18483,0.673011
5,-2.175052,0.668196
6,-2.168146,0.664288
7,-2.161332,0.660566
8,-2.1548,0.657553
9,-2.151528,0.655634
10,-2.146785,0.653338
11,-2.151534,0.653304
12,-2.174553,0.658002
13,-2.217232,0.667451
14,-2.266772,0.67754
15,-2.307623,0.685616
16,-2.337095,0.69088
17,-2.344791,0.690668
18,-2.331694,0.686426
19,-2.3045,0.679048
20,-2.281541,0.673763
21,-2.266185,0.670972
22,-2.258665,0.67044
23,-2.247782,0.668908
24,-2.236376,0.666569
25,-2.228623,0.664633
26,-2.225226,0.663323
27,-2.222437,0.662183
28,-2.232957,0.664048
29,-2.258559,0.669487
30,-2.299165,0.679019
31,-2.32631,0.686125
32,-2.324859,0.685157
33,-2.318566,0.683182
34,-2.307106,0.679333
35,-2.293153,0.675036
36,-2.266263,0.666982
37,-2.245856,0.660455
38,-2.227448,0.655625
39,-2.207001,0.651164
40,-2.187567,0.646881
41,-2.177868,0.645583
42,-2.173411,0.64566
43,-2.180547,0.649254
44,-2.198858,0.656091
45,-2.222668,0.664571
46,-2.254863,0.67522
47,-2.290426,0.687055
48,-2.317654,0.69688
49,-2.327885,0.701956
50,-2.326424,0.704366
51,-2.314289,0.703248
52,-2.288957,0.698152
53,-2.261266,0.691206
54,-2.241084,0.685718
55,-2.22836,0.6815
56,-2.220147,0.678283
57,-2.216717,0.676337
58,-2.219409,0.676807
59,-2.221886,0.677599
60,-2.227606,0.680227
61,-2.236387,0.684282
62,-2.243177,0.687749
63,-2.249421,0.691364
64,-2.2547,0.694504
65,-2.262585,0.69809
66,-2.265818,0.700881
67,-2.260829,0.701265
68,-2.258097,0.701392
69,-2.256628,0.702462
70,-2.251988,0.70252
71,-2.252337,0.704411
72,-2.250141,0.705976
73,-2.246372,0.70735
74,-2.24321,0.70872
75,-2.248897,0.712815
76,-2.254357,0.716803
77,-2.255468,0.718511
78,-2.258327,0.720983
79,-2.261961,0.723977
80,-2.263826,0.727087
81,-2.256731,0.727703
82,-2.244602,0.727309
83,-2.227635,0.725372
84,-2.204847,0.72186
85,-2.190585,0.721539
86,-2.18058,0.721074
87,-2.178318,0.722699
88,-2.191728,0.728221
89,-2.217151,0.73716
90,-2.241217,0.745449
91,-2.261167,0.752933
92,-2.279059,0.7596
93,-2.295756,0.766464
94,-2.301136,0.769639
95,-2.290844,0.76797
96,-2.278545,0.764285
