Seq,COPx,COPy
0,-0.006556,0.037626
1,-0.006548,0.037651
2,-0.006526,0.037691
3,-0.006486,0.03769
4,-0.006472,0.037677
5,-0.006417,0.037637
6,-0.006359,0.037603
7,-0.006309,0.037576
8,-0.00626,0.037595
9,-0.006196,0.037667
10,-0.006122,0.03782
11,-0.006121,0.037944
12,-0.006142,0.038103
13,-0.006187,0.038241
14,-0.006181,0.038341
15,-0.006136,0.038427
16,-0.006154,0.038489
17,-0.006181,0.038572
18,-0.006197,0.0387
19,-0.006222,0.038921
20,-0.006264,0.039211
21,-0.006358,0.039555
22,-0.006443,0.039937
23,-0.006475,0.040301
24,-0.006464,0.040648
25,-0.006501,0.040993
26,-0.006541,0.041337
27,-0.006572,0.041733
28,-0.006632,0.042163
29,-0.006694,0.042594
30,-0.006736,0.043028
31,-0.006773,0.043454
32,-0.00676,0.04382
33,-0.006749,0.044201
34,-0.006786,0.04461
35,-0.006789,0.045112
36,-0.006807,0.045579
37,-0.006826,0.0461
38,-0.00688,0.046537
39,-0.006886,0.046868
40,-0.006927,0.047044
41,-0.006966,0.04707
42,-0.006987,0.047129
43,-0.006997,0.047165
44,-0.006992,0.047237
45,-0.006938,0.047353
46,-0.006806,0.047443
47,-0.006651,0.047551
48,-0.006545,0.047568
49,-0.006442,0.047475
50,-0.006383,0.047338
51,-0.006361,0.047126
52,-0.006351,0.046933
53,-0.006326,0.046697
54,-0.006303,0.046489
55,-0.006267,0.046297
56,-0.006247,0.046033
57,-0.006228,0.045762
58,-0.006212,0.045462
59,-0.006206,0.04511
60,-0.006238,0.044767
61,-0.006267,0.044443
62,-0.006279,0.0442
63,-0.006289,0.044042
64,-0.006298,0.043948
65,-0.006275,0.043909
66,-0.006246,0.043857
67,-0.006231,0.043778
68,-0.006249,0.043637
69,-0.006266,0.043449
70,-0.006274,0.043264
71,-0.006302,0.043055
72,-0.006308,0.042793
73,-0.00632,0.042629
74,-0.006364,0.042479
75,-0.006406,0.042419
76,-0.006457,0.042348
77,-0.00648,0.042275
78,-0.00654,0.042181
79,-0.006567,0.042023
80,-0.006597,0.041882
81,-0.006627,0.041718
82,-0.006629,0.041587
83,-0.006675,0.041494
84,-0.006744,0.041516
85,-0.006791,0.041609
86,-0.006827,0.041751
87,-0.006853,0.04192
88,-0.006872,0.042022
89,-0.006911,0.042082
90,-0.00694,0.042109
91,-0.006943,0.042152
92,-0.006964,0.042187
93,-0.006967,0.042337
94,-0.007003,0.042568
95,-0.007036,0.042882
96,-0.007072,0.043182
97,-0.007064,0.043386
98,-0.00705,0.043452
99,-0.007043,0.0433
100,-0.007031,0.043042
101,-0.007036,0.042708
102,-0.007047,0.04237
103,-0.007059,0.042054
104,-0.007088,0.041737
105,-0.007112,0.041467
106,-0.007141,0.041239
107,-0.007179,0.04097
108,-0.007225,0.040774
109,-0.007295,0.040595
110,-0.007369,0.040437
111,-0.007408,0.040341
112,-0.007435,0.040283
113,-0.007502,0.040253
114,-0.007473,0.040245
115,-0.007447,0.040249
116,-0.007437,0.040189
117,-0.007419,0.040082
118,-0.007412,0.039958
119,-0.007421,0.039828
120,-0.007445,0.039712
121,-0.0074,0.039607
122,-0.00742,0.039508
123,-0.00741,0.039405
124,-0.007407,0.03931
125,-0.007394,0.039263
126,-0.007396,0.039256
127,-0.007398,0.039306
128,-0.007418,0.039437
129,-0.007445,0.039603
130,-0.007463,0.039785
131,-0.007454,0.039975
132,-0.007492,0.040188
133,-0.007482,0.04042
134,-0.00751,0.040672
135,-0.007484,0.040906
136,-0.0075,0.041191
137,-0.007522,0.041482
138,-0.007499,0.041827
139,-0.007532,0.042214
140,-0.007557,0.042663
141,-0.007522,0.043031
142,-0.00756,0.04337
143,-0.007565,0.043663
144,-0.007568,0.04395
145,-0.00759,0.044199
146,-0.007589,0.044389
147,-0.007584,0.044566
148,-0.007599,0.044701
149,-0.007596,0.044814
150,-0.007575,0.044949
151,-0.007601,0.045057
152,-0.007647,0.045144
153,-0.00769,0.045219
154,-0.007678,0.045288
155,-0.00769,0.04532
156,-0.007656,0.045349
157,-0.007625,0.045343
158,-0.007578,0.045325
159,-0.007508,0.045281
160,-0.007493,0.045257
161,-0.007449,0.04524
162,-0.007418,0.045216
163,-0.007409,0.045224
164,-0.007384,0.045236
165,-0.007378,0.045267
166,-0.007368,0.045323
167,-0.007339,0.045361
168,-0.007304,0.045381
169,-0.007255,0.045293
170,-0.007234,0.045173
171,-0.007232,0.044963
172,-0.007224,0.044707
173,-0.007197,0.044406
174,-0.007189,0.044093
175,-0.007136,0.043854
176,-0.007155,0.043651
177,-0.007171,0.043491
178,-0.007182,0.043336
179,-0.007231,0.043151
180,-0.007254,0.042954
181,-0.007224,0.042761
182,-0.007253,0.042587
183,-0.00729,0.042447
184,-0.007324,0.042345
185,-0.007324,0.042279
186,-0.00734,0.042293
187,-0.007362,0.042362
188,-0.007399,0.042452
189,-0.00743,0.042568
190,-0.007482,0.042606
191,-0.007506,0.042569
192,-0.007477,0.042485
193,-0.007447,0.042374
194,-0.007439,0.042246
195,-0.007424,0.042116
196,-0.007403,0.042014
197,-0.00742,0.041991
198,-0.007439,0.042007
199,-0.007503,0.041994
200,-0.007476,0.041974
201,-0.007433,0.042073
202,-0.007355,0.042171
203,-0.007308,0.042269
204,-0.007218,0.042411
205,-0.007154,0.042624
206,-0.007086,0.042907
207,-0.007034,0.043212
208,-0.006946,0.043568
209,-0.006856,0.044003
210,-0.00674,0.044477
211,-0.006614,0.0449
212,-0.006487,0.045316
213,-0.006415,0.045669
214,-0.006394,0.045992
215,-0.006385,0.04627
216,-0.006386,0.046522
217,-0.006375,0.046782
218,-0.006359,0.046988
219,-0.006314,0.047144
220,-0.006263,0.047317
221,-0.006202,0.047474
222,-0.006125,0.047546
223,-0.00608,0.047582
224,-0.006058,0.047595
225,-0.006023,0.047532
226,-0.006034,0.047463
227,-0.006082,0.047366
228,-0.006116,0.047256
229,-0.006149,0.047202
230,-0.006199,0.047123
231,-0.006232,0.047028
232,-0.006259,0.046927
233,-0.006239,0.046807
234,-0.006254,0.046737
235,-0.006289,0.046662
236,-0.006353,0.046638
237,-0.006371,0.046617
238,-0.00641,0.046538
239,-0.006362,0.046445
240,-0.006354,0.046283
241,-0.006375,0.046102
242,-0.006334,0.045822
243,-0.006337,0.04552
244,-0.006306,0.045212
245,-0.006323,0.044922
246,-0.006363,0.044705
247,-0.006407,0.044519
248,-0.006438,0.044436
249,-0.006453,0.044365
250,-0.006514,0.04431
251,-0.006569,0.044279
252,-0.006602,0.044196
253,-0.006653,0.044069
254,-0.006755,0.043932
255,-0.00683,0.04379
256,-0.006855,0.043685
257,-0.006902,0.043615
258,-0.006946,0.043563
259,-0.00698,0.043483
260,-0.007036,0.043448
261,-0.00705,0.043455
262,-0.007092,0.043406
263,-0.007139,0.043355
264,-0.007197,0.043261
265,-0.007285,0.043092
266,-0.007331,0.042861
267,-0.007367,0.042636
268,-0.007349,0.04243
269,-0.007368,0.042248
270,-0.007404,0.042066
271,-0.007432,0.041889
272,-0.00743,0.041693
273,-0.007435,0.041544
274,-0.00749,0.041449
275,-0.007521,0.041418
276,-0.007572,0.041416
277,-0.007618,0.041477
278,-0.007635,0.041556
279,-0.007643,0.041631
280,-0.007629,0.04174
281,-0.007579,0.041873
282,-0.007539,0.041999
283,-0.007457,0.042148
284,-0.007441,0.042241
285,-0.007367,0.042283
286,-0.007335,0.042263
287,-0.007334,0.042238
288,-0.007367,0.042226
289,-0.007383,0.042202
290,-0.007382,0.042261
291,-0.007351,0.042316
292,-0.007316,0.04242
293,-0.007283,0.042534
294,-0.007224,0.042674
295,-0.007156,0.042812
296,-0.007115,0.042922
297,-0.007097,0.043047
298,-0.007091,0.043186
299,-0.007025,0.043395
300,-0.006973,0.043627
301,-0.006968,0.043921
302,-0.007038,0.044173
303,-0.007088,0.044376
304,-0.007172,0.044525
305,-0.007225,0.044632
306,-0.007242,0.044658
307,-0.007287,0.044668
308,-0.007348,0.044635
309,-0.00741,0.044582
310,-0.007495,0.044545
311,-0.007549,0.044452
312,-0.007539,0.044336
313,-0.007501,0.044147
314,-0.007496,0.043969
315,-0.007536,0.043785
316,-0.007582,0.04364
317,-0.007584,0.04354
318,-0.007656,0.04352
319,-0.007683,0.043541
320,-0.007695,0.043639
321,-0.007669,0.043782
322,-0.007654,0.043953
323,-0.007683,0.044184
324,-0.00769,0.044431
325,-0.007691,0.044685
326,-0.007695,0.044943
327,-0.007675,0.045243
328,-0.007655,0.04558
329,-0.007608,0.045887
330,-0.007612,0.046184
331,-0.007598,0.046468
332,-0.007595,0.046778
333,-0.007606,0.047088
334,-0.007622,0.047348
335,-0.007618,0.047614
336,-0.007598,0.047909
337,-0.007641,0.048164
338,-0.007666,0.048345
339,-0.007658,0.048573
340,-0.007653,0.048763
341,-0.007642,0.048882
342,-0.007618,0.049015
343,-0.007588,0.049163
344,-0.0076,0.049283
345,-0.007625,0.049328
346,-0.00759,0.049283
347,-0.007548,0.049145
348,-0.00748,0.048998
349,-0.007449,0.048826
350,-0.0074,0.048653
351,-0.007353,0.048481
352,-0.007289,0.048299
353,-0.007239,0.048063
354,-0.007206,0.047836
355,-0.007195,0.047577
356,-0.007165,0.047344
357,-0.007176,0.047122
358,-0.007167,0.046928
359,-0.00719,0.046762
360,-0.007253,0.046581
361,-0.007309,0.04636
362,-0.007352,0.046055
363,-0.007321,0.045756
364,-0.007233,0.045453
365,-0.007228,0.045161
366,-0.007239,0.044881
367,-0.007251,0.04469
368,-0.007257,0.04458
369,-0.007271,0.044505
370,-0.00722,0.044503
371,-0.007159,0.044549
372,-0.007105,0.044558
373,-0.007043,0.04459
374,-0.006943,0.044601
375,-0.006879,0.044584
376,-0.006776,0.044593
377,-0.006702,0.044591
378,-0.006643,0.044651
379,-0.006593,0.044675
380,-0.006562,0.044765
381,-0.006587,0.044848
382,-0.006593,0.0449
383,-0.006583,0.044871
384,-0.006525,0.044738
385,-0.006423,0.044509
386,-0.006308,0.04426
387,-0.00622,0.043994
388,-0.006143,0.043796
389,-0.006102,0.043559
390,-0.006105,0.043366
391,-0.006084,0.043337
392,-0.006077,0.043393
393,-0.006097,0.043466
394,-0.006135,0.043544
395,-0.006154,0.043674
396,-0.006171,0.043828
397,-0.006177,0.044022
398,-0.006193,0.044285
399,-0.006211,0.044603
400,-0.006208,0.044892
401,-0.006178,0.045143
402,-0.006152,0.045348
403,-0.006097,0.045424
404,-0.006087,0.045508
405,-0.006092,0.045602
406,-0.006089,0.045708
407,-0.006129,0.045822
408,-0.006168,0.046016
409,-0.006203,0.046224
410,-0.006273,0.046373
411,-0.006304,0.046495
412,-0.006306,0.04655
413,-0.006355,0.046577
414,-0.006412,0.046614
415,-0.006462,0.046666
416,-0.006528,0.046723
417,-0.006582,0.046817
418,-0.006622,0.046908
419,-0.006618,0.046977
420,-0.006597,0.046956
421,-0.006562,0.046854
422,-0.006538,0.046676
423,-0.006487,0.046468
424,-0.006431,0.046225
425,-0.0064,0.046027
426,-0.006347,0.045874
427,-0.006333,0.045771
428,-0.006349,0.045713
429,-0.006366,0.045734
430,-0.006374,0.045748
431,-0.00641,0.045788
432,-0.006375,0.045806
433,-0.006358,0.045827
434,-0.006316,0.04585
435,-0.006273,0.045931
436,-0.006211,0.046053
437,-0.006164,0.046214
438,-0.006118,0.046406
439,-0.006044,0.046611
440,-0.005942,0.046798
441,-0.005883,0.046949
442,-0.005816,0.04702
443,-0.005725,0.047105
444,-0.005641,0.047201
445,-0.005591,0.047274
446,-0.005498,0.0474
447,-0.005446,0.047506
448,-0.005371,0.047601
449,-0.005322,0.047697
450,-0.00529,0.047741
451,-0.005253,0.047696
452,-0.005254,0.047645
453,-0.005226,0.047482
454,-0.00524,0.04738
455,-0.005242,0.047264
456,-0.005242,0.04722
457,-0.00523,0.047197
458,-0.005199,0.047184
459,-0.005164,0.047157
460,-0.005127,0.047057
461,-0.005134,0.046872
462,-0.005095,0.046669
463,-0.005082,0.046456
464,-0.005061,0.046265
465,-0.005081,0.046074
466,-0.005107,0.045927
467,-0.005091,0.045791
468,-0.005061,0.04565
469,-0.005051,0.045484
470,-0.005043,0.045357
471,-0.005027,0.045233
472,-0.005003,0.045176
473,-0.004939,0.04514
474,-0.004928,0.045165
475,-0.004882,0.045155
476,-0.004863,0.045149
477,-0.00484,0.045144
478,-0.00485,0.045134
479,-0.004794,0.045116
480,-0.004739,0.045104
481,-0.004716,0.045121
482,-0.004653,0.045189
483,-0.00461,0.045372
484,-0.004601,0.045534
485,-0.004584,0.045739
486,-0.004568,0.045897
487,-0.004528,0.046019
488,-0.004557,0.046091
489,-0.004598,0.046075
490,-0.004622,0.046059
491,-0.004661,0.046061
492,-0.004676,0.046065
493,-0.004724,0.046088
494,-0.004759,0.04615
495,-0.004818,0.046182
496,-0.004882,0.046165
497,-0.004854,0.046136
498,-0.004812,0.046128
499,-0.004787,0.046145
500,-0.004718,0.046192
501,-0.004689,0.046226
502,-0.004686,0.046338
503,-0.004698,0.046472
504,-0.004702,0.046627
505,-0.004711,0.046829
506,-0.004705,0.047043
507,-0.004719,0.047254
508,-0.004708,0.04745
509,-0.004719,0.047679
510,-0.004751,0.047912
511,-0.004821,0.048189
512,-0.004885,0.048492
513,-0.004886,0.048749
514,-0.004933,0.049006
515,-0.004925,0.049187
516,-0.004916,0.049297
517,-0.004915,0.049341
518,-0.004937,0.049381
519,-0.004998,0.049422
520,-0.005048,0.049531
521,-0.005063,0.04968
522,-0.005099,0.049913
523,-0.005161,0.050158
524,-0.0052,0.050403
525,-0.005239,0.050559
526,-0.005272,0.050633
527,-0.005279,0.050716
528,-0.00531,0.050808
529,-0.00532,0.050979
530,-0.005353,0.051174
531,-0.005371,0.051362
532,-0.005414,0.05155
533,-0.005449,0.051656
534,-0.005491,0.05169
535,-0.005532,0.051665
536,-0.005548,0.051599
537,-0.005573,0.051463
538,-0.005598,0.051352
539,-0.005651,0.051348
540,-0.00571,0.051372
541,-0.005754,0.051379
542,-0.005734,0.051399
543,-0.005732,0.051329
544,-0.005715,0.05111
545,-0.005672,0.050868
546,-0.005686,0.050593
547,-0.005673,0.050283
548,-0.005636,0.050076
549,-0.005595,0.049939
550,-0.005572,0.049856
551,-0.005567,0.049819
552,-0.005541,0.049728
553,-0.005518,0.049576
554,-0.005526,0.049377
555,-0.005519,0.049042
556,-0.005498,0.048716
557,-0.005464,0.048376
558,-0.005487,0.048122
559,-0.005524,0.047906
560,-0.005545,0.047764
561,-0.005554,0.047702
562,-0.005611,0.047654
563,-0.005644,0.047677
564,-0.005677,0.047662
565,-0.005679,0.047601
566,-0.005717,0.04756
567,-0.005782,0.047414
568,-0.005807,0.047219
