Seq,COPx,COPy
0,-0.000593,0.054649
1,-0.000326,0.054323
2,0.000042,0.053855
3,0.00037,0.053282
4,0.000696,0.052682
5,0.001049,0.052172
6,0.001426,0.051712
7,0.001829,0.051343
8,0.002211,0.051041
9,0.002571,0.050789
10,0.002789,0.050614
11,0.002933,0.050549
12,0.002913,0.050541
13,0.002804,0.05065
14,0.002601,0.050905
15,0.002359,0.051306
16,0.002099,0.051936
17,0.001777,0.052649
18,0.00136,0.053428
19,0.000941,0.054257
20,0.000335,0.055096
21,-0.000423,0.056098
22,-0.001195,0.057212
23,-0.001921,0.058409
24,-0.002562,0.059576
25,-0.003055,0.060766
26,-0.003404,0.06187
27,-0.003701,0.062922
28,-0.00394,0.063929
29,-0.004067,0.065018
30,-0.004139,0.066329
31,-0.004205,0.067831
32,-0.004175,0.069281
33,-0.004123,0.070525
34,-0.004044,0.071709
35,-0.003892,0.072967
36,-0.00375,0.074208
37,-0.00363,0.075438
38,-0.003564,0.076717
39,-0.003478,0.077802
40,-0.003329,0.078689
41,-0.003139,0.079525
42,-0.002935,0.080215
43,-0.002617,0.080555
44,-0.002577,0.080601
45,-0.002439,0.080273
46,-0.002312,0.079712
47,-0.002045,0.078956
48,-0.001715,0.077882
49,-0.001315,0.076411
50,-0.000864,0.074844
51,-0.000483,0.073191
52,-0.000153,0.071392
53,0.000116,0.06953
54,0.000419,0.067662
55,0.000659,0.065957
56,0.000822,0.064373
57,0.001033,0.063067
58,0.001211,0.061935
59,0.001384,0.060979
60,0.001555,0.060283
61,0.001776,0.059758
62,0.002072,0.059405
63,0.002326,0.059083
64,0.002678,0.058823
65,0.002984,0.058597
66,0.003345,0.058248
67,0.003743,0.057761
68,0.004188,0.057302
69,0.004672,0.056794
70,0.005162,0.056176
71,0.005577,0.055594
72,0.006014,0.055078
73,0.006405,0.054697
74,0.006796,0.054454
75,0.007184,0.054284
76,0.007527,0.054309
77,0.007798,0.054466
78,0.00804,0.054717
79,0.00819,0.055103
80,0.008269,0.055843
81,0.008303,0.056723
82,0.008441,0.057667
83,0.008724,0.058616
84,0.009032,0.059502
85,0.009247,0.060352
86,0.009317,0.061058
87,0.009267,0.061664
88,0.009129,0.062243
89,0.008974,0.062956
90,0.008987,0.063915
91,0.00908,0.064868
92,0.009152,0.065714
93,0.009099,0.066349
94,0.008903,0.066883
95,0.008589,0.067214
96,0.008314,0.067205
97,0.008088,0.066853
98,0.007901,0.066183
99,0.007721,0.065376
100,0.007486,0.06459
101,0.007183,0.06381
102,0.00682,0.06304
103,0.006465,0.062287
104,0.006144,0.061583
105,0.005851,0.060946
106,0.005577,0.060375
107,0.005302,0.060047
108,0.005127,0.059871
109,0.004988,0.059873
110,0.004843,0.060119
111,0.004713,0.060461
112,0.004627,0.060802
113,0.004593,0.061131
114,0.004547,0.061363
115,0.00452,0.061668
116,0.004568,0.0621
117,0.004577,0.062563
118,0.004577,0.063056
119,0.004587,0.063514
120,0.004582,0.063905
121,0.004624,0.064075
122,0.004616,0.063977
123,0.004602,0.063641
124,0.00446,0.063119
125,0.00435,0.062557
126,0.004259,0.061933
127,0.004276,0.061322
128,0.004259,0.060822
129,0.004283,0.060421
130,0.004265,0.06016
131,0.00417,0.059942
132,0.004064,0.059821
133,0.003876,0.059744
134,0.003759,0.059649
135,0.00366,0.059619
136,0.003637,0.059711
137,0.003576,0.059923
138,0.003518,0.060242
139,0.003407,0.060695
140,0.003277,0.061209
141,0.003164,0.061654
142,0.003043,0.062078
143,0.002916,0.062391
144,0.002747,0.062582
145,0.002518,0.062702
146,0.00233,0.062778
147,0.002107,0.062719
148,0.001907,0.062663
149,0.001722,0.062524
150,0.00147,0.062353
151,0.001192,0.062201
152,0.000989,0.061938
153,0.000801,0.06152
154,0.000756,0.061081
155,0.000769,0.060504
156,0.000752,0.059913
157,0.000763,0.059292
158,0.000771,0.058765
159,0.00072,0.058317
160,0.000672,0.058025
161,0.000591,0.057833
162,0.000497,0.057731
163,0.000374,0.057739
164,0.000262,0.057783
165,0.000183,0.057793
166,0.000093,0.057831
167,-0.000015,0.057821
168,-0.000139,0.057882
169,-0.000211,0.05803
170,-0.000324,0.0582
171,-0.00045,0.058355
172,-0.000543,0.058456
173,-0.00061,0.058373
174,-0.000682,0.058188
175,-0.000757,0.057993
176,-0.000799,0.057874
177,-0.00087,0.057732
178,-0.000915,0.05765
179,-0.000943,0.057476
180,-0.000965,0.057231
181,-0.000934,0.056981
182,-0.000909,0.05671
183,-0.000956,0.056468
184,-0.000991,0.056258
185,-0.00101,0.056102
186,-0.001068,0.056021
187,-0.001116,0.05606
188,-0.001226,0.056281
189,-0.001399,0.056552
190,-0.001581,0.056845
191,-0.001732,0.057312
192,-0.001871,0.057707
193,-0.001979,0.058058
194,-0.002095,0.058396
195,-0.002262,0.058671
196,-0.002379,0.05894
197,-0.002566,0.059214
198,-0.002727,0.05942
199,-0.002868,0.059567
200,-0.003042,0.059687
201,-0.003119,0.059902
202,-0.003235,0.060155
203,-0.003225,0.060554
204,-0.003168,0.061126
205,-0.003,0.061823
206,-0.002904,0.062518
207,-0.002874,0.063253
208,-0.002873,0.063779
209,-0.002854,0.064178
210,-0.002789,0.064459
211,-0.00278,0.064748
212,-0.002776,0.06508
213,-0.002686,0.065409
214,-0.002611,0.065689
215,-0.00258,0.065941
216,-0.002496,0.066083
217,-0.00238,0.066108
218,-0.00221,0.066035
219,-0.001942,0.065928
220,-0.001592,0.065773
221,-0.001207,0.065729
222,-0.000818,0.065736
223,-0.000412,0.065595
224,-0.000047,0.065215
225,0.000365,0.064674
226,0.000764,0.064127
227,0.001118,0.063547
228,0.001397,0.062962
229,0.00165,0.062399
230,0.001912,0.061819
231,0.002137,0.061184
232,0.00223,0.060365
233,0.002304,0.059341
234,0.002294,0.058176
235,0.002205,0.056963
236,0.002096,0.055853
237,0.001965,0.054811
238,0.00185,0.053851
239,0.001742,0.052905
240,0.001629,0.051979
241,0.00153,0.051146
242,0.001441,0.050449
243,0.00135,0.049845
244,0.00135,0.049312
245,0.001374,0.048904
246,0.001345,0.048548
247,0.001355,0.048326
248,0.001428,0.048134
249,0.001549,0.048008
250,0.001707,0.047881
251,0.001857,0.047702
252,0.001988,0.047572
253,0.00214,0.047407
254,0.002305,0.047289
255,0.002453,0.047201
256,0.002618,0.047198
257,0.002734,0.047305
258,0.002825,0.047475
259,0.002885,0.047683
260,0.002949,0.047887
261,0.003052,0.048088
262,0.003165,0.04831
263,0.003279,0.048615
264,0.003301,0.048945
265,0.003262,0.049416
266,0.003247,0.049985
267,0.003237,0.050521
268,0.003128,0.051066
269,0.003034,0.051589
270,0.002914,0.05212
271,0.002727,0.052675
272,0.002565,0.053274
273,0.00238,0.053939
274,0.002283,0.05466
275,0.002157,0.055459
276,0.002047,0.05628
277,0.001955,0.057275
278,0.001893,0.058291
279,0.001885,0.059278
280,0.001883,0.060235
281,0.001739,0.061364
282,0.001547,0.062589
283,0.001395,0.063747
284,0.001302,0.064677
285,0.001274,0.065421
286,0.00124,0.066058
287,0.001255,0.066666
288,0.001301,0.067346
289,0.00143,0.067941
290,0.001585,0.068375
291,0.001794,0.068561
292,0.001976,0.068589
293,0.00216,0.068611
294,0.002384,0.068606
295,0.002717,0.068484
296,0.003065,0.068343
297,0.003357,0.068255
298,0.003545,0.068402
299,0.00371,0.068636
300,0.003925,0.068889
301,0.004208,0.069083
302,0.004502,0.069186
303,0.004741,0.069222
304,0.004927,0.069317
305,0.005129,0.069487
306,0.005324,0.069796
307,0.005558,0.070194
308,0.005841,0.070644
309,0.006057,0.071003
310,0.006202,0.071196
311,0.006283,0.071243
312,0.006327,0.071326
313,0.006391,0.071362
314,0.006479,0.071333
315,0.006605,0.07121
316,0.006762,0.071032
317,0.006833,0.070799
318,0.006906,0.070294
319,0.0069,0.069536
320,0.006877,0.068468
321,0.006842,0.067226
322,0.006827,0.065897
323,0.006805,0.064452
324,0.006822,0.063095
325,0.006809,0.061785
326,0.006781,0.060648
327,0.006738,0.059659
328,0.006777,0.05885
329,0.006908,0.058196
330,0.00704,0.057758
331,0.007173,0.057502
332,0.007359,0.057319
333,0.007467,0.05728
334,0.007505,0.057337
335,0.007505,0.057493
336,0.007446,0.057762
337,0.00738,0.058026
338,0.007384,0.058493
339,0.007433,0.058994
340,0.007494,0.059622
341,0.007548,0.060252
342,0.00758,0.060801
343,0.007644,0.061265
344,0.007662,0.061555
345,0.007687,0.061667
346,0.007725,0.061644
347,0.007798,0.061563
348,0.00786,0.061492
349,0.007918,0.061527
350,0.007967,0.061639
351,0.007999,0.061839
352,0.008056,0.062087
353,0.008059,0.062418
354,0.008055,0.06274
355,0.008104,0.063156
356,0.008133,0.063845
357,0.008179,0.064955
358,0.008332,0.066217
359,0.008642,0.067488
360,0.00887,0.068622
361,0.009034,0.069636
362,0.009258,0.070882
363,0.009329,0.072756
364,0.009329,0.07512
365,0.00936,0.077356
366,0.009399,0.079134
367,0.009421,0.080347
368,0.00944,0.081157
369,0.009421,0.081678
370,0.009428,0.082024
371,0.009451,0.082369
372,0.009484,0.082556
373,0.009442,0.082577
374,0.009421,0.082447
375,0.009548,0.082197
376,0.009764,0.081823
377,0.009926,0.081537
378,0.009993,0.081501
379,0.01004,0.081505
380,0.010115,0.081372
381,0.01016,0.081072
382,0.010156,0.080683
383,0.010095,0.080285
384,0.01007,0.080017
385,0.01009,0.079749
386,0.010149,0.079335
387,0.010195,0.078675
388,0.01027,0.077733
389,0.010282,0.076573
390,0.010241,0.075294
391,0.010172,0.073948
392,0.010129,0.072517
393,0.01017,0.070899
394,0.01024,0.069195
395,0.010242,0.067668
396,0.010222,0.066486
397,0.010286,0.065624
398,0.010401,0.064974
399,0.010509,0.064702
400,0.010682,0.064801
401,0.010811,0.064934
402,0.010839,0.065115
403,0.01086,0.065214
404,0.010855,0.065154
405,0.010869,0.064855
406,0.010845,0.064424
407,0.010772,0.063894
408,0.010668,0.063342
409,0.010546,0.062661
410,0.010436,0.061873
411,0.01029,0.060964
412,0.010221,0.06001
413,0.010188,0.059192
414,0.01027,0.058537
415,0.010305,0.058154
416,0.010315,0.058016
417,0.010303,0.058018
418,0.01028,0.058121
419,0.010207,0.058308
420,0.010209,0.058528
421,0.010252,0.058821
422,0.010328,0.059345
423,0.010485,0.060187
424,0.010661,0.061411
425,0.010879,0.062933
426,0.01094,0.064361
427,0.010849,0.065543
428,0.010645,0.066452
429,0.010385,0.067213
430,0.010168,0.067738
431,0.00997,0.068181
432,0.009761,0.068827
433,0.009623,0.069742
434,0.009608,0.070829
435,0.009578,0.071994
436,0.009504,0.072994
437,0.009374,0.073727
438,0.009298,0.074158
439,0.009292,0.074448
440,0.009306,0.074702
441,0.009312,0.075007
442,0.009338,0.075169
443,0.00937,0.075231
444,0.009351,0.075292
445,0.009331,0.07547
446,0.009322,0.075753
447,0.009255,0.076043
448,0.009159,0.076238
449,0.009104,0.076436
450,0.009018,0.076683
451,0.009007,0.076902
452,0.008931,0.077102
453,0.008853,0.077368
454,0.008801,0.077571
455,0.008745,0.077479
456,0.0088,0.07712
457,0.008929,0.076524
458,0.009039,0.075657
459,0.009183,0.074739
460,0.009348,0.073916
461,0.009528,0.073164
462,0.009626,0.07253
463,0.009692,0.072046
464,0.009779,0.071578
465,0.00988,0.071003
466,0.010043,0.070238
467,0.010178,0.069254
468,0.010314,0.068098
469,0.010497,0.066817
470,0.010705,0.065555
471,0.010815,0.064349
472,0.010765,0.063473
473,0.010674,0.062762
474,0.010616,0.061944
475,0.010743,0.061017
476,0.010899,0.060133
477,0.011065,0.059323
478,0.011203,0.058596
479,0.011282,0.058058
480,0.011418,0.057552
481,0.011559,0.057039
482,0.011747,0.056531
483,0.011975,0.055897
484,0.012228,0.055274
485,0.012489,0.054624
486,0.012635,0.053979
487,0.012697,0.053298
488,0.012801,0.052612
489,0.012915,0.051895
490,0.012959,0.051157
491,0.01301,0.050324
492,0.013008,0.049463
493,0.012974,0.048706
494,0.012864,0.048031
495,0.012711,0.047465
496,0.012453,0.046813
497,0.012147,0.046055
498,0.011831,0.045263
499,0.011531,0.044662
500,0.011215,0.04421
501,0.01087,0.043809
502,0.010586,0.043526
503,0.010331,0.043381
504,0.010105,0.043316
505,0.009969,0.043312
506,0.009916,0.043329
507,0.009938,0.043354
508,0.01004,0.04337
509,0.010266,0.043186
510,0.010486,0.042808
511,0.010642,0.042256
512,0.010776,0.041688
513,0.010827,0.041186
514,0.010933,0.040648
515,0.011056,0.040122
516,0.011193,0.039584
517,0.011305,0.039122
518,0.011373,0.038752
519,0.011364,0.038471
520,0.011287,0.038352
521,0.011157,0.038355
522,0.011059,0.038398
523,0.010947,0.038501
524,0.010824,0.038678
525,0.010732,0.038989
526,0.010608,0.039399
527,0.010381,0.039925
528,0.010189,0.040592
529,0.009929,0.041315
530,0.009701,0.042061
531,0.00945,0.042883
532,0.009246,0.043841
533,0.009061,0.045125
534,0.00892,0.046619
535,0.008786,0.048308
536,0.008771,0.050023
537,0.008896,0.051568
538,0.009036,0.052992
539,0.009154,0.054285
540,0.009181,0.055732
541,0.009193,0.057286
542,0.009204,0.058782
543,0.009173,0.06025
544,0.009176,0.061673
545,0.009069,0.063141
546,0.008858,0.064717
547,0.008542,0.066273
548,0.00814,0.067681
549,0.007691,0.069001
550,0.007256,0.070033
551,0.006873,0.070737
552,0.006506,0.071016
553,0.006204,0.070983
554,0.005963,0.070776
555,0.005716,0.070591
556,0.005494,0.070463
