Seq,COPx,COPy
0.000000,-0.013964,0.070778
1.000000,-0.014091,0.071104
2.000000,-0.014201,0.071399
3.000000,-0.014236,0.071638
4.000000,-0.014260,0.071811
5.000000,-0.014257,0.071884
6.000000,-0.014227,0.071921
7.000000,-0.014183,0.071925
8.000000,-0.014214,0.071930
9.000000,-0.014288,0.071931
10.000000,-0.014376,0.071937
11.000000,-0.014448,0.071967
12.000000,-0.014525,0.071981
13.000000,-0.014508,0.071977
14.000000,-0.014480,0.071990
15.000000,-0.014482,0.071961
16.000000,-0.014473,0.071916
17.000000,-0.014469,0.071828
18.000000,-0.014446,0.071682
19.000000,-0.014487,0.071516
20.000000,-0.014519,0.071302
21.000000,-0.014599,0.071079
22.000000,-0.014660,0.070805
23.000000,-0.014691,0.070541
24.000000,-0.014719,0.070276
25.000000,-0.014700,0.069983
26.000000,-0.014654,0.069735
27.000000,-0.014668,0.069478
28.000000,-0.014647,0.069140
29.000000,-0.014670,0.068745
30.000000,-0.014659,0.068329
31.000000,-0.014668,0.067902
32.000000,-0.014637,0.067494
33.000000,-0.014581,0.067128
34.000000,-0.014551,0.066781
35.000000,-0.014543,0.066489
36.000000,-0.014581,0.066184
37.000000,-0.014615,0.065913
38.000000,-0.014658,0.065687
39.000000,-0.014672,0.065488
40.000000,-0.014682,0.065202
41.000000,-0.014702,0.064912
42.000000,-0.014732,0.064624
43.000000,-0.014778,0.064382
44.000000,-0.014802,0.064173
45.000000,-0.014874,0.063986
46.000000,-0.014937,0.063740
47.000000,-0.015037,0.063371
48.000000,-0.015124,0.062941
49.000000,-0.015217,0.062511
50.000000,-0.015280,0.062134
51.000000,-0.015312,0.061790
52.000000,-0.015295,0.061409
53.000000,-0.015250,0.061006
54.000000,-0.015217,0.060615
55.000000,-0.015116,0.060257
56.000000,-0.014984,0.059963
57.000000,-0.014887,0.059709
58.000000,-0.014770,0.059492
59.000000,-0.014679,0.059313
60.000000,-0.014565,0.059154
61.000000,-0.014439,0.059066
62.000000,-0.014332,0.059038
63.000000,-0.014227,0.059091
64.000000,-0.014145,0.059141
65.000000,-0.014098,0.059202
66.000000,-0.014059,0.059214
67.000000,-0.014007,0.059209
68.000000,-0.013979,0.059157
69.000000,-0.013936,0.059118
70.000000,-0.013894,0.059112
71.000000,-0.013916,0.059141
72.000000,-0.013952,0.059194
73.000000,-0.013994,0.059274
74.000000,-0.014036,0.059381
75.000000,-0.014054,0.059497
76.000000,-0.014054,0.059618
77.000000,-0.014040,0.059799
78.000000,-0.014037,0.059977
79.000000,-0.014008,0.060172
80.000000,-0.013997,0.060382
81.000000,-0.014000,0.060630
82.000000,-0.014011,0.060867
83.000000,-0.013983,0.061171
84.000000,-0.013944,0.061505
85.000000,-0.013879,0.061853
86.000000,-0.013882,0.062197
87.000000,-0.013863,0.062529
88.000000,-0.013831,0.062882
89.000000,-0.013841,0.063277
90.000000,-0.013829,0.063714
91.000000,-0.013803,0.064173
92.000000,-0.013800,0.064625
93.000000,-0.013779,0.065090
94.000000,-0.013746,0.065546
95.000000,-0.013740,0.066024
96.000000,-0.013729,0.066468
97.000000,-0.013729,0.066978
98.000000,-0.013697,0.067502
99.000000,-0.013687,0.067961
100.000000,-0.013726,0.068396
101.000000,-0.013784,0.068769
102.000000,-0.013798,0.069051
103.000000,-0.013822,0.069237
104.000000,-0.013913,0.069381
105.000000,-0.013981,0.069470
106.000000,-0.014015,0.069559
107.000000,-0.014028,0.069610
108.000000,-0.014017,0.069637
109.000000,-0.014022,0.069657
110.000000,-0.013970,0.069632
111.000000,-0.013913,0.069553
112.000000,-0.013859,0.069445
113.000000,-0.013811,0.069379
114.000000,-0.013790,0.069284
115.000000,-0.013730,0.069193
116.000000,-0.013670,0.069119
117.000000,-0.013593,0.069051
118.000000,-0.013506,0.068998
119.000000,-0.013439,0.068948
120.000000,-0.013369,0.068890
121.000000,-0.013317,0.068838
122.000000,-0.013307,0.068841
123.000000,-0.013228,0.068902
124.000000,-0.013223,0.068951
125.000000,-0.013216,0.069045
126.000000,-0.013214,0.069168
127.000000,-0.013252,0.069295
128.000000,-0.013281,0.069433
129.000000,-0.013268,0.069554
130.000000,-0.013299,0.069661
131.000000,-0.013373,0.069703
132.000000,-0.013502,0.069719
133.000000,-0.013667,0.069672
134.000000,-0.013822,0.069574
135.000000,-0.013942,0.069454
136.000000,-0.014018,0.069309
137.000000,-0.014096,0.069143
138.000000,-0.014166,0.068985
139.000000,-0.014262,0.068803
140.000000,-0.014330,0.068547
141.000000,-0.014369,0.068256
142.000000,-0.014446,0.067924
143.000000,-0.014511,0.067528
144.000000,-0.014525,0.067199
145.000000,-0.014500,0.066875
146.000000,-0.014482,0.066594
147.000000,-0.014451,0.066335
148.000000,-0.014448,0.066051
149.000000,-0.014408,0.065658
150.000000,-0.014330,0.065258
151.000000,-0.014253,0.064901
152.000000,-0.014176,0.064601
153.000000,-0.014136,0.064384
154.000000,-0.014085,0.064242
155.000000,-0.014041,0.064141
156.000000,-0.014029,0.064047
157.000000,-0.014020,0.063991
158.000000,-0.013994,0.063963
159.000000,-0.013975,0.063939
160.000000,-0.013968,0.063955
161.000000,-0.013963,0.063954
162.000000,-0.013981,0.063918
163.000000,-0.014051,0.063884
164.000000,-0.014101,0.063851
165.000000,-0.014105,0.063822
166.000000,-0.014127,0.063783
167.000000,-0.014156,0.063729
168.000000,-0.014222,0.063701
169.000000,-0.014290,0.063698
170.000000,-0.014361,0.063725
171.000000,-0.014397,0.063756
172.000000,-0.014453,0.063775
173.000000,-0.014497,0.063840
174.000000,-0.014559,0.063894
175.000000,-0.014603,0.063955
176.000000,-0.014635,0.064030
177.000000,-0.014660,0.064109
178.000000,-0.014693,0.064188
179.000000,-0.014694,0.064297
180.000000,-0.014657,0.064435
181.000000,-0.014581,0.064625
182.000000,-0.014529,0.064802
183.000000,-0.014520,0.064965
184.000000,-0.014509,0.065115
185.000000,-0.014500,0.065278
186.000000,-0.014529,0.065498
187.000000,-0.014500,0.065704
188.000000,-0.014452,0.065912
189.000000,-0.014453,0.066138
190.000000,-0.014405,0.066411
191.000000,-0.014357,0.066669
192.000000,-0.014342,0.066959
193.000000,-0.014310,0.067262
194.000000,-0.014260,0.067560
195.000000,-0.014169,0.067859
196.000000,-0.014057,0.068189
197.000000,-0.013953,0.068491
198.000000,-0.013848,0.068753
199.000000,-0.013732,0.068984
200.000000,-0.013622,0.069172
201.000000,-0.013498,0.069339
202.000000,-0.013411,0.069462
203.000000,-0.013313,0.069568
204.000000,-0.013228,0.069656
205.000000,-0.013177,0.069746
206.000000,-0.013101,0.069807
207.000000,-0.013049,0.069882
208.000000,-0.012971,0.069934
209.000000,-0.012861,0.070001
210.000000,-0.012775,0.070060
211.000000,-0.012742,0.070125
212.000000,-0.012732,0.070160
213.000000,-0.012778,0.070193
214.000000,-0.012860,0.070161
215.000000,-0.012963,0.070001
216.000000,-0.013057,0.069756
217.000000,-0.013123,0.069468
218.000000,-0.013179,0.069158
219.000000,-0.013185,0.068894
220.000000,-0.013193,0.068658
221.000000,-0.013198,0.068469
222.000000,-0.013181,0.068308
223.000000,-0.013182,0.068218
224.000000,-0.013183,0.068133
225.000000,-0.013165,0.068108
226.000000,-0.013147,0.068087
227.000000,-0.013158,0.068060
228.000000,-0.013152,0.068036
229.000000,-0.013155,0.068021
230.000000,-0.013136,0.068019
231.000000,-0.013083,0.068044
232.000000,-0.013055,0.068041
233.000000,-0.013018,0.068037
234.000000,-0.012994,0.068071
235.000000,-0.012944,0.068122
236.000000,-0.012870,0.068226
237.000000,-0.012805,0.068350
238.000000,-0.012716,0.068535
239.000000,-0.012616,0.068709
240.000000,-0.012563,0.068870
241.000000,-0.012496,0.069070
242.000000,-0.012434,0.069264
243.000000,-0.012397,0.069504
244.000000,-0.012345,0.069762
245.000000,-0.012262,0.070019
246.000000,-0.012186,0.070263
247.000000,-0.012154,0.070558
248.000000,-0.012095,0.070899
249.000000,-0.012017,0.071160
250.000000,-0.011981,0.071405
251.000000,-0.011935,0.071645
252.000000,-0.011862,0.071879
253.000000,-0.011784,0.072011
254.000000,-0.011722,0.072085
255.000000,-0.011674,0.072073
256.000000,-0.011633,0.071965
257.000000,-0.011573,0.071853
258.000000,-0.011511,0.071746
259.000000,-0.011489,0.071641
260.000000,-0.011434,0.071578
261.000000,-0.011411,0.071526
262.000000,-0.011365,0.071468
263.000000,-0.011349,0.071353
264.000000,-0.011352,0.071166
265.000000,-0.011400,0.070894
266.000000,-0.011477,0.070609
267.000000,-0.011573,0.070341
268.000000,-0.011623,0.070094
269.000000,-0.011654,0.069874
270.000000,-0.011673,0.069732
271.000000,-0.011719,0.069619
272.000000,-0.011750,0.069540
273.000000,-0.011755,0.069495
274.000000,-0.011756,0.069522
275.000000,-0.011778,0.069569
276.000000,-0.011814,0.069632
277.000000,-0.011825,0.069689
278.000000,-0.011807,0.069732
279.000000,-0.011825,0.069752
280.000000,-0.011819,0.069777
281.000000,-0.011836,0.069816
282.000000,-0.011883,0.069876
283.000000,-0.011919,0.069958
284.000000,-0.011933,0.070056
285.000000,-0.011959,0.070190
286.000000,-0.011952,0.070370
287.000000,-0.011930,0.070558
288.000000,-0.011872,0.070739
289.000000,-0.011800,0.070957
290.000000,-0.011751,0.071142
291.000000,-0.011726,0.071306
292.000000,-0.011705,0.071422
293.000000,-0.011687,0.071530
294.000000,-0.011689,0.071626
295.000000,-0.011687,0.071700
296.000000,-0.011651,0.071815
297.000000,-0.011607,0.071939
298.000000,-0.011592,0.072045
299.000000,-0.011569,0.072078
300.000000,-0.011571,0.072088
301.000000,-0.011600,0.072095
302.000000,-0.011608,0.072097
303.000000,-0.011606,0.072040
304.000000,-0.011642,0.071947
305.000000,-0.011684,0.071825
306.000000,-0.011711,0.071713
307.000000,-0.011758,0.071605
308.000000,-0.011806,0.071540
309.000000,-0.011846,0.071510
310.000000,-0.011897,0.071447
311.000000,-0.011955,0.071382
312.000000,-0.012019,0.071235
313.000000,-0.012141,0.071004
314.000000,-0.012267,0.070696
315.000000,-0.012377,0.070344
316.000000,-0.012478,0.069935
317.000000,-0.012596,0.069511
318.000000,-0.012685,0.069105
319.000000,-0.012733,0.068727
320.000000,-0.012805,0.068413
321.000000,-0.012891,0.068119
322.000000,-0.012933,0.067875
323.000000,-0.012976,0.067633
324.000000,-0.013046,0.067408
325.000000,-0.013116,0.067192
326.000000,-0.013154,0.067017
327.000000,-0.013182,0.066879
328.000000,-0.013207,0.066775
329.000000,-0.013241,0.066731
330.000000,-0.013235,0.066722
331.000000,-0.013214,0.066753
332.000000,-0.013187,0.066839
333.000000,-0.013143,0.066959
334.000000,-0.013078,0.067113
335.000000,-0.013017,0.067307
336.000000,-0.012925,0.067584
337.000000,-0.012854,0.068000
338.000000,-0.012801,0.068412
339.000000,-0.012744,0.068772
340.000000,-0.012673,0.069086
341.000000,-0.012634,0.069365
342.000000,-0.012615,0.069648
343.000000,-0.012581,0.069923
344.000000,-0.012546,0.070158
345.000000,-0.012560,0.070351
346.000000,-0.012586,0.070539
347.000000,-0.012637,0.070658
348.000000,-0.012728,0.070708
349.000000,-0.012779,0.070658
350.000000,-0.012834,0.070468
